row_type,surlab_file_location,surlab_filename,fieldname_surlab,units,requirement_level,requirement_condition,nwb_location,nwb_fieldname,nwb_keyword,nwb_type,mapping_rationale,stage,notes,applies_to_session,discovered,source_path
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,institution,plain text (institution name),required,always,NWBFile,institution,,str,DANDI/NWB core provenance: institution on NWBFile.,1,Mirror file session_dir/sessionInfo_single_session.csv same columns.,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,lab,plain text (laboratory name),required,always,NWBFile,lab,,str,NWB core lab string.,1,,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,experimenter,plain text (full name),required,always,NWBFile,experimenter,,str_or_array_of_str,NWB experimenter; use string or length-1 array per PyNWB.,1,,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,animal_ID,plain text (subject identifier),required,always,NWBFile/general/subject,subject_id,,str,Subject.subject_id standard for subject key.,1,,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,session_ID,plain text (session identifier),required,always,NWBFile,session_id,,str,NWBFile.session_id where schema provides it; ties to session record.,1,Unique within dataset as pair (animal_ID session_ID); may repeat across different animal_ID.,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,session_date,calendar date YYYY-MM-DD,required,always,NWBFile,session_start_time,,datetime,Build datetime for session_start_time; default time T00:00:00 if no clock; document timezone.,1,,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,species,Latin binomial e.g. Mus musculus,required,always,NWBFile/general/subject,species,,str,Subject.species.,1,,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,sex,single letter M F O U,required,always,NWBFile/general/subject,sex,,str,Subject.sex M F O U.,1,,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,age__days,numeric age in days,required,always,NWBFile/general/subject,age,,str,Subject.age expects ISO-8601 duration; convert days to P{n}D.,1,,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,strain,plain text genetic background,required,always,NWBFile/general/subject,strain,,str,Subject.strain.,1,,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,(session_metadata_provenance),N/A,na,always,NWBFile,N/A,,N/A,Required sessionInfo columns must appear in sessionInfo CSV at export time; ingest may fill from dataset_config or sidecar before write.,1,Raw acquisition folders may lack these fields; converter merges defaults then writes sessionInfo. Not a SurLab column header.,False,informational,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,zero_time,datatype ID of stream aligned to t=0,optional,always,NWBFile,notes,,str,Provenance only: names which stream was aligned to session origin (t=0). Not a special value and not required for correctness; converter can infer the anchor as the stream whose first timestamp is 0. NWB has no zero_time field; if present write stream ID to NWBFile.notes (LabMetaData when nwb_path enabled). If column absent skip it.,1,Value e.g. GCaMP7f_traces. All SurLab times share one origin; other streams/trials may begin negative or positive relative to it.,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,area,plain text comma-separated regions,optional,always,NWBFile/general/subject,description,,str,Session-level brain region text on Subject.description.,1,,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,condition,plain text experimental condition,optional,always,NWBFile,session_description,,str,Append to session_description; trial types detailed in trial table stage.,1,,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,related_publication,plain text DOI or citation,optional,always,NWBFile,related_publications,,str,NWB related_publications.,1,,True,found,demo_data\SeqBias_AstroBlock_NPX\sessionsInfo_SeqBias_AstroBlock_NPX_examp.csv
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,(derived_file_identifier),N/A,required,always,NWBFile,identifier,,str,Unique NWB identifier; typically concatenate animal_ID and session_ID or use session_ID if globally unique.,1,Not a SurLab column; conversion generates.,False,informational,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,(per_stream_traces),boolean 0/1 per stream column,optional,always,NWBFile,keywords,identity,array_of_str,One sessionInfo column per traces stream; header is full datatype ID (e.g. GCaMP7f_traces).,1,No aggregate traces column. See Common prefix examples in documentation (GCaMP7f tdTomato mCherry etc.).,False,informational,
