unit_ID,depth__um,area,spike_sorting_ID,quality
1,49.991,PFC,239,1.0
2,65.2816,PFC,7,1.0
3,65.3995,PFC,240,0.0
4,72.9422,PFC,13,0.0
5,73.7638,PFC,5,0.0
6,73.9915,PFC,11,0.0
7,75.2989,PFC,12,1.0
8,81.9924,PFC,10,0.0
9,83.1846,PFC,241,0.0
10,84.5052,PFC,9,1.0
11,90.2742,PFC,14,0.0
12,106.9998,PFC,242,0.0
13,107.4542,PFC,16,0.0
14,111.532,PFC,0,0.0
15,117.4687,PFC,15,1.0
16,129.4876,PFC,22,0.0
17,143.5534,PFC,2,1.0
18,144.4169,PFC,25,0.0
19,147.3831,PFC,21,0.0
20,153.8409,PFC,20,0.0
21,158.0369,PFC,6,0.0
22,159.8925,PFC,4,0.0
23,163.6876,PFC,8,0.0
24,165.649,PFC,27,0.0
25,172.0308,PFC,307,1.0
26,173.6469,PFC,28,0.0
27,175.6405,PFC,1,0.0
28,178.8039,PFC,3,0.0
29,179.7946,PFC,17,1.0
30,180.7153,PFC,26,0.0
31,182.9751,PFC,24,0.0
32,184.0636,PFC,243,0.0
33,191.2409,PFC,244,0.0
34,191.7768,PFC,19,1.0
35,193.3229,PFC,18,1.0
36,194.1255,PFC,23,0.0
37,200.3853,PFC,245,0.0
38,212.0409,PFC,31,1.0
39,218.3728,PFC,29,0.0
40,221.1938,PFC,30,0.0
41,221.4937,PFC,33,0.0
42,227.687,PFC,35,0.0
43,230.0889,PFC,32,0.0
44,254.1045,PFC,37,0.0
45,257.9584,PFC,34,0.0
46,260.0717,PFC,247,0.0
47,266.0567,PFC,36,0.0
48,267.5475,PFC,246,0.0
49,267.7501,PFC,38,0.0
50,270.4111,PFC,41,0.0
51,273.6545,PFC,248,0.0
52,274.3247,PFC,249,0.0
53,282.5302,PFC,39,0.0
54,287.8435,PFC,42,0.0
55,288.1507,PFC,40,0.0
56,301.7668,PFC,44,0.0
57,319.1137,PFC,45,0.0
58,324.3896,PFC,46,0.0
59,327.5684,PFC,43,0.0
60,370.1331,PFC,47,0.0
61,391.3436,PFC,49,0.0
62,396.109,PFC,48,0.0
63,400.6818,PFC,52,0.0
64,401.4875,PFC,50,0.0
65,409.4651,PFC,51,1.0
66,421.2658,PFC,54,1.0
67,431.7182,PFC,60,0.0
68,434.3152,PFC,53,0.0
69,441.8391,PFC,56,1.0
70,446.8342,PFC,59,0.0
71,461.3066,PFC,62,0.0
72,469.9331,PFC,55,0.0
73,490.8642,PFC,58,0.0
74,492.0927,PFC,65,0.0
75,495.4143,PFC,57,0.0
76,502.7394,PFC,61,1.0
77,533.4165,PFC,64,0.0
78,533.731,PFC,66,0.0
79,552.0957,PFC,63,1.0
80,574.0526,PFC,67,0.0
81,576.7682,PFC,68,0.0
82,576.9071,PFC,251,0.0
83,582.9459,PFC,70,0.0
84,585.5865,PFC,69,0.0
85,587.315,PFC,250,0.0
86,623.833,PFC,308,0.0
87,625.9796,PFC,71,0.0
88,628.2413,PFC,73,0.0
89,659.3858,PFC,74,0.0
90,664.4188,PFC,72,0.0
91,680.296,PFC,78,0.0
92,687.9792,PFC,75,1.0
93,689.3617,PFC,79,0.0
94,701.1059,PFC,77,0.0
95,710.1488,PFC,76,1.0
96,713.6859,PFC,252,0.0
97,724.2618,PFC,82,0.0
98,737.6743,PFC,80,0.0
99,748.4834,PFC,81,0.0
100,756.4209,PFC,254,0.0
101,757.5406,PFC,253,0.0
102,760.2571,PFC,85,0.0
103,766.7172,PFC,86,0.0
104,767.0804,PFC,83,0.0
105,779.8383,PFC,84,1.0
106,783.1155,PFC,89,0.0
107,784.3212,PFC,255,0.0
108,792.289,PFC,87,1.0
109,793.863,PFC,88,0.0
110,794.9598,PFC,256,1.0
111,808.2858,PFC,90,0.0
112,833.5943,PFC,91,1.0
113,838.3394,PFC,93,0.0
114,844.2679,PFC,92,0.0
115,847.2566,PFC,94,0.0
116,853.7963,PFC,259,1.0
117,855.0856,PFC,98,0.0
118,859.4887,PFC,97,0.0
119,859.6362,PFC,95,0.0
120,864.6187,PFC,257,0.0
121,871.5676,PFC,96,0.0
122,877.9715,PFC,99,1.0
123,880.9252,PFC,258,0.0
124,892.2932,PFC,100,0.0
125,896.9947,PFC,101,0.0
126,978.6416,PFC,102,0.0
127,989.9492,PFC,103,0.0
128,1021.9257,PFC,106,0.0
129,1027.8784,PFC,260,0.0
130,1051.1192,PFC,104,0.0
131,1055.9245,PFC,105,0.0
132,1076.1774,PFC,107,0.0
133,1085.1193,PFC,109,0.0
134,1137.3668,PFC,108,0.0
135,1203.8601,PFC,110,0.0
136,1214.927,PFC,111,0.0
137,1317.9137,PFC,112,0.0
138,1323.9532,PFC,113,0.0
139,1379.0062,PFC,115,1.0
140,1387.382,PFC,114,0.0
141,1415.7144,PFC,117,0.0
142,1422.3773,PFC,116,0.0
143,1430.7882,PFC,118,0.0
144,1471.7879,PFC,119,0.0
145,1504.5681,PFC,261,0.0
146,1519.4401,PFC,120,0.0
147,1525.964,PFC,121,0.0
148,1592.0813,PFC,122,1.0
149,1638.473,PFC,123,0.0
150,1653.5328,PFC,124,0.0
151,1669.0238,PFC,126,0.0
152,1672.0022,PFC,125,1.0
153,1687.7168,PFC,129,0.0
154,1697.1365,PFC,128,0.0
155,1711.8939,PFC,127,0.0
156,1718.8008,PFC,297,0.0
157,1720.8708,PFC,130,0.0
158,1721.3018,PFC,299,0.0
159,1721.5882,PFC,298,0.0
160,1722.3206,PFC,262,0.0
161,1723.2101,PFC,131,0.0
162,1724.7766,PFC,263,0.0
163,1732.2757,PFC,133,0.0
164,1732.9427,PFC,138,0.0
165,1733.5629,PFC,264,0.0
166,1739.8214,PFC,266,0.0
167,1746.8794,PFC,132,0.0
168,1748.6998,PFC,267,0.0
169,1749.3768,PFC,134,0.0
170,1752.7151,PFC,265,0.0
171,1755.5062,PFC,137,0.0
172,1757.0602,PFC,135,0.0
173,1757.474,PFC,300,0.0
174,1760.9498,PFC,269,0.0
175,1761.3371,PFC,268,0.0
176,1763.981,PFC,139,0.0
177,1767.1875,PFC,140,1.0
178,1767.6975,PFC,136,1.0
179,1798.1252,PFC,141,0.0
180,1798.9875,PFC,142,1.0
