start_time__s,stop_time__s,stimulus_onset__s,stimulus_offset__s,tone_frequency__Hz,tone_intensity__dB,reaction_time__s,output,correct,tone_idx,trial_type,laser,prev_trial_type
10.982,16.982,11.602,12.102,4,35,NaN,no_press,1,4,cr,0,
17.122,23.122,17.802,18.302,12,35,0.2097,press,1,8,hit,0,cr
23.6366,29.6366,24.1566,24.6566,12,25,0.1805,press,1,7,hit,0,hit
29.8735,35.8735,30.6735,31.1735,4,5,0.5264,press,0,1,fa,0,hit
35.8656,41.8656,36.6556,37.1556,12,5,NaN,no_press,0,5,miss,0,fa
42.6962,48.6962,43.1562,43.6562,12,15,0.3646,press,1,6,hit,0,miss
47.965,53.965,48.335,48.835,4,15,NaN,no_press,1,2,cr,0,hit
53.931,59.931,54.861,55.361,4,25,NaN,no_press,1,3,cr,0,cr
60.3232,66.3232,61.0332,61.5332,12,35,0.1845,press,1,8,hit,0,cr
65.6604,71.6604,66.3104,66.8104,4,15,NaN,no_press,1,2,cr,0,hit
71.7775,77.7775,72.2775,72.7775,12,15,0.1597,press,1,6,hit,0,cr
76.8547,82.8547,77.4347,77.9347,4,35,NaN,no_press,1,4,cr,0,hit
84.1969,90.1969,84.9269,85.4269,4,5,NaN,no_press,1,1,cr,0,cr
92.1489,98.1489,92.7289,93.2289,4,25,NaN,no_press,1,3,cr,0,cr
98.3651,104.3651,99.2051,99.7051,NaN,25,NaN,,-1,,early_press,0,cr
100.4064,106.4064,101.1964,101.6964,12,5,0.2179,press,1,5,hit,0,early_press
105.8266,111.8266,106.4366,106.9366,12,35,0.1951,press,1,8,hit,0,hit
111.0838,117.0838,111.9038,112.4038,NaN,35,NaN,,-1,,early_press,0,hit
113.463,119.463,114.223,114.723,12,25,0.1996,press,1,7,hit,0,early_press
118.8355,124.8355,119.5655,120.0655,4,5,NaN,no_press,1,1,cr,0,hit
125.0264,131.0264,125.7664,126.2664,12,5,NaN,no_press,0,5,miss,0,cr
130.9945,136.9945,131.7245,132.2245,4,15,NaN,no_press,1,2,cr,0,miss
137.175,143.175,137.745,138.245,12,15,0.2415,press,1,6,hit,0,cr
142.4047,148.4047,143.2747,143.7747,4,25,NaN,no_press,1,3,cr,0,hit
151.444,157.444,151.884,152.384,4,25,0.2927,press,0,3,fa,0,cr
156.8174,162.8174,157.3974,157.8974,12,25,0.2014,press,1,7,hit,0,fa
162.0329,168.0329,162.4429,162.9429,12,15,0.3762,press,1,6,hit,0,hit
167.2277,173.2277,167.7277,168.2277,4,5,NaN,no_press,1,1,cr,0,hit
173.1767,179.1767,173.7667,174.2667,4,15,NaN,no_press,1,2,cr,0,cr
179.2088,185.2088,179.9988,180.4988,4,35,NaN,no_press,1,4,cr,0,cr
185.4478,191.4478,186.1978,186.6978,12,5,NaN,no_press,0,5,miss,0,cr
192.2367,198.2367,192.7167,193.2167,12,35,0.1445,press,1,8,hit,0,miss
197.3116,203.3116,197.7616,198.2616,12,5,NaN,no_press,0,5,miss,0,hit
203.6398,209.6398,204.2498,204.7498,4,25,NaN,no_press,1,3,cr,0,miss
210.0715,216.0715,210.8615,211.3615,4,5,NaN,no_press,1,1,cr,0,cr
216.3093,222.3093,216.6493,217.1493,12,15,0.2855,press,1,6,hit,0,cr
221.3791,227.3791,222.3491,222.8491,4,35,NaN,no_press,1,4,cr,0,hit
227.8048,233.8048,228.3748,228.8748,4,15,NaN,no_press,1,2,cr,0,cr
233.8329,239.8329,234.6729,235.1729,12,35,0.193,press,1,8,hit,0,cr
239.271,245.271,239.731,240.231,12,25,0.2212,press,1,7,hit,0,hit
244.3742,250.3742,244.9142,245.4142,4,35,NaN,no_press,1,4,cr,0,hit
250.3609,256.3609,251.0009,251.5009,12,15,NaN,no_press,0,6,miss,0,cr
256.2322,262.2322,256.9022,257.4022,4,15,NaN,no_press,1,2,cr,0,miss
262.3419,268.3419,263.0919,263.5919,12,5,0.4158,press,1,5,hit,0,cr
267.9415,273.9415,268.5615,269.0615,4,5,NaN,no_press,1,1,cr,0,hit
274.0119,280.0119,274.4019,274.9019,4,25,NaN,no_press,1,3,cr,0,cr
280.7961,286.7961,281.3461,281.8461,12,35,0.1305,press,1,8,hit,0,cr
285.8907,291.8907,286.6507,287.1507,12,25,0.2363,press,1,7,hit,0,hit
291.3384,297.3384,292.0484,292.5484,4,15,NaN,no_press,1,2,cr,0,hit
297.5,303.5,298.28,298.78,NaN,35,NaN,,-1,,early_press,0,cr
299.8813,305.8813,300.7013,301.2013,4,5,NaN,no_press,1,1,cr,0,early_press
306.1714,312.1714,306.8914,307.3914,12,5,0.4836,press,1,5,hit,0,cr
311.8146,317.8146,312.7346,313.2346,NaN,35,NaN,,-1,,early_press,0,hit
315.6624,321.6624,316.3724,316.8724,12,25,0.1405,press,1,7,hit,0,early_press
322.6984,328.6984,323.3884,323.8884,4,25,NaN,no_press,1,3,cr,0,hit
330.3012,336.3012,330.9412,331.4412,12,15,0.2207,press,1,6,hit,0,cr
335.5811,341.5811,336.3411,336.8411,4,25,NaN,no_press,1,3,cr,0,hit
342.4997,348.4997,342.9797,343.4797,12,5,0.2418,press,1,5,hit,0,cr
347.6487,353.6487,348.4887,348.9887,12,15,0.2981,press,1,6,hit,0,hit
353.2146,359.2146,353.7946,354.2946,4,35,0.1754,press,0,4,fa,0,hit
358.63,364.63,359.07,359.57,12,35,0.1434,press,1,8,hit,0,fa
363.6539,369.6539,364.2739,364.7739,12,25,0.1836,press,1,7,hit,0,hit
368.8904,374.8904,369.1604,369.6604,4,5,NaN,no_press,1,1,cr,0,hit
376.4043,382.4043,377.0743,377.5743,4,15,0.1307,press,0,2,fa,0,cr
381.8583,387.8583,382.4183,382.9183,12,35,0.1493,press,1,8,hit,0,fa
387.0032,393.0032,387.8732,388.3732,12,25,0.3812,press,1,7,hit,0,hit
392.678,398.678,393.348,393.848,4,25,NaN,no_press,1,3,cr,0,hit
398.8084,404.8084,399.5584,400.0584,4,35,NaN,no_press,1,4,cr,0,cr
405.0181,411.0181,405.6081,406.1081,12,5,NaN,no_press,0,5,miss,0,cr
410.836,416.836,411.496,411.996,4,5,NaN,no_press,1,1,cr,0,miss
416.9497,422.9497,417.6997,418.1997,12,15,0.364,press,1,6,hit,0,cr
425.1497,431.1497,425.7397,426.2397,4,15,NaN,no_press,1,2,cr,0,hit
431.1919,437.1919,431.9919,432.4919,12,15,0.2172,press,1,6,hit,0,cr
436.6339,442.6339,437.2439,437.7439,4,15,NaN,no_press,1,2,cr,0,hit
442.6959,448.6959,443.3159,443.8159,4,35,NaN,no_press,1,4,cr,0,cr
449.2884,455.2884,449.9784,450.4784,12,35,0.3228,press,1,8,hit,0,cr
454.7309,460.7309,455.1709,455.6709,4,5,NaN,no_press,1,1,cr,0,hit
460.6247,466.6247,461.4047,461.9047,4,25,NaN,no_press,1,3,cr,0,cr
466.8773,472.8773,467.4773,467.9773,12,5,NaN,no_press,0,5,miss,0,cr
472.6956,478.6956,473.2356,473.7356,12,25,0.2502,press,1,7,hit,0,miss
477.9079,483.9079,478.5479,479.0479,12,25,0.2282,press,1,7,hit,0,hit
483.197,489.197,483.447,483.947,12,35,0.3407,press,1,8,hit,0,hit
489.154,495.154,489.824,490.324,4,35,NaN,no_press,1,4,cr,0,hit
495.2772,501.2772,495.8272,496.3272,4,5,NaN,no_press,1,1,cr,0,cr
501.2734,507.2734,502.0334,502.5334,12,5,NaN,no_press,0,5,miss,0,cr
508.8802,514.8802,509.7002,510.2002,12,15,0.3956,press,1,6,hit,0,miss
514.5265,520.5265,515.1965,515.6965,4,15,NaN,no_press,1,2,cr,0,hit
520.645,526.645,521.225,521.725,4,25,NaN,no_press,1,3,cr,0,cr
526.6865,532.6865,527.2865,527.7865,12,5,NaN,no_press,0,5,miss,0,cr
532.5079,538.5079,533.0179,533.5179,4,25,NaN,no_press,1,3,cr,0,miss
538.4695,544.4695,539.0495,539.5495,12,35,0.1846,press,1,8,hit,0,cr
545.2296,551.2296,546.0096,546.5096,4,5,NaN,no_press,1,1,cr,0,hit
557.0627,563.0627,557.9427,558.4427,12,25,0.2753,press,1,7,hit,0,cr
564.1617,570.1617,564.9417,565.4417,4,35,0.4872,press,0,4,fa,0,hit
570.0785,576.0785,570.4885,570.9885,12,15,0.4487,press,1,6,hit,0,fa
575.3615,581.3615,576.0415,576.5415,4,15,NaN,no_press,1,2,cr,0,hit
