roi_ID,roi_x_coordinate,roi_y_coordinate,roi_center_x,roi_center_y,area,iscell,fluorophore_class
0,405.0,360.0,410.0,363.0,VISp,1,unclassified
1,185.0,470.0,190.0,473.0,VISp,1,unclassified
2,253.0,467.0,256.0,471.0,VISp,1,unclassified
3,268.0,407.0,272.0,411.0,VISp,1,unclassified
4,461.0,312.0,466.0,315.0,VISp,1,unclassified
5,457.0,263.0,460.0,267.0,VISp,1,unclassified
6,395.0,403.0,398.0,407.0,VISp,1,unclassified
7,248.0,454.0,252.0,457.0,VISp,1,unclassified
8,149.0,379.0,152.0,383.0,VISp,1,unclassified
9,425.0,466.0,430.0,469.0,VISp,1,unclassified
10,377.0,300.0,382.0,303.0,VISp,1,unclassified
11,449.0,299.0,452.0,303.0,VISp,1,unclassified
12,365.0,397.0,368.0,399.0,VISp,1,unclassified
13,423.0,331.0,426.0,333.0,VISp,1,unclassified
14,211.0,155.0,214.0,157.0,VISp,1,unclassified
15,369.0,375.0,374.0,379.0,VISp,1,unclassified
16,443.0,349.0,446.0,353.0,VISp,1,unclassified
17,140.0,326.0,144.0,329.0,VISp,1,unclassified
18,420.0,377.0,424.0,379.0,VISp,1,unclassified
19,380.0,401.0,384.0,403.0,VISp,1,unclassified
20,424.0,302.0,430.0,305.0,VISp,1,unclassified
21,195.0,488.0,202.0,491.0,VISp,1,unclassified
22,346.0,201.0,350.0,203.0,VISp,1,unclassified
23,345.0,412.0,348.0,415.0,VISp,1,unclassified
24,359.0,476.0,362.0,479.0,VISp,1,unclassified
25,278.0,414.0,282.0,417.0,VISp,1,unclassified
26,307.0,365.0,310.0,369.0,VISp,1,unclassified
27,177.0,347.0,182.0,349.0,VISp,1,unclassified
28,46.0,456.0,50.0,459.0,VISp,1,unclassified
29,249.0,477.0,254.0,479.0,VISp,1,unclassified
30,480.0,286.0,484.0,289.0,VISp,1,unclassified
31,414.0,370.0,418.0,373.0,VISp,1,unclassified
32,482.0,346.0,486.0,349.0,VISp,1,unclassified
33,423.0,411.0,426.0,413.0,VISp,1,unclassified
34,414.0,432.0,418.0,435.0,VISp,1,unclassified
35,394.0,421.0,398.0,425.0,VISp,1,unclassified
36,299.0,431.0,302.0,435.0,VISp,1,unclassified
37,145.0,381.0,148.0,383.0,VISp,1,unclassified
38,237.0,442.0,240.0,443.0,VISp,1,unclassified
39,135.0,377.0,138.0,379.0,VISp,1,unclassified
40,290.0,375.0,294.0,379.0,VISp,1,unclassified
41,401.0,390.0,404.0,393.0,VISp,1,unclassified
42,308.0,345.0,312.0,349.0,VISp,1,unclassified
43,310.0,362.0,314.0,365.0,VISp,1,unclassified
44,272.0,482.0,280.0,487.0,VISp,1,unclassified
45,483.0,408.0,488.0,411.0,VISp,1,unclassified
46,323.0,368.0,328.0,373.0,VISp,1,unclassified
47,465.0,371.0,470.0,375.0,VISp,1,unclassified
48,155.0,367.0,160.0,369.0,VISp,1,unclassified
49,441.0,395.0,444.0,397.0,VISp,1,unclassified
50,392.0,346.0,398.0,349.0,VISp,1,unclassified
51,317.0,192.0,320.0,195.0,VISp,1,unclassified
52,201.0,464.0,204.0,467.0,VISp,1,unclassified
53,278.0,467.0,282.0,471.0,VISp,1,unclassified
54,270.0,122.0,274.0,127.0,VISp,1,unclassified
55,325.0,402.0,330.0,405.0,VISp,1,unclassified
56,290.0,230.0,294.0,233.0,VISp,1,unclassified
57,371.0,425.0,376.0,429.0,VISp,1,unclassified
58,163.0,342.0,166.0,345.0,VISp,1,unclassified
59,341.0,352.0,346.0,355.0,VISp,1,unclassified
60,96.0,476.0,100.0,477.0,VISp,1,unclassified
61,396.0,340.0,400.0,341.0,VISp,1,unclassified
62,86.0,478.0,90.0,479.0,VISp,1,unclassified
63,317.0,226.0,320.0,229.0,VISp,1,unclassified
64,141.0,439.0,144.0,441.0,VISp,1,unclassified
65,240.0,123.0,244.0,125.0,VISp,1,unclassified
66,493.0,398.0,498.0,401.0,VISp,1,unclassified
67,293.0,392.0,300.0,395.0,VISp,1,unclassified
68,419.0,259.0,424.0,263.0,VISp,1,unclassified
69,373.0,303.0,376.0,305.0,VISp,1,unclassified
70,449.0,263.0,454.0,265.0,VISp,1,unclassified
71,469.0,408.0,474.0,411.0,VISp,1,unclassified
72,266.0,377.0,270.0,379.0,VISp,1,unclassified
73,448.0,361.0,452.0,367.0,VISp,1,unclassified
74,421.0,292.0,424.0,295.0,VISp,1,unclassified
75,389.0,359.0,392.0,363.0,VISp,1,unclassified
76,295.0,467.0,298.0,469.0,VISp,1,unclassified
77,282.0,191.0,286.0,193.0,VISp,1,unclassified
78,375.0,457.0,380.0,461.0,VISp,1,unclassified
79,396.0,295.0,400.0,297.0,VISp,1,unclassified
80,393.0,425.0,396.0,427.0,VISp,1,unclassified
81,193.0,491.0,196.0,493.0,VISp,1,unclassified
82,175.0,498.0,178.0,501.0,VISp,1,unclassified
83,497.0,205.0,500.0,207.0,VISp,1,unclassified
84,469.0,292.0,472.0,295.0,VISp,1,unclassified
85,248.0,483.0,254.0,487.0,VISp,1,unclassified
86,445.0,441.0,452.0,443.0,VISp,1,unclassified
87,231.0,404.0,234.0,407.0,VISp,1,unclassified
88,102.0,421.0,106.0,423.0,VISp,1,unclassified
89,496.0,271.0,500.0,275.0,VISp,1,unclassified
90,442.0,386.0,448.0,389.0,VISp,1,unclassified
91,365.0,322.0,368.0,325.0,VISp,1,unclassified
92,280.0,350.0,282.0,353.0,VISp,1,unclassified
93,237.0,150.0,242.0,153.0,VISp,1,unclassified
94,388.0,380.0,392.0,383.0,VISp,1,unclassified
95,451.0,250.0,456.0,255.0,VISp,1,unclassified
96,361.0,463.0,366.0,467.0,VISp,1,unclassified
97,481.0,383.0,486.0,385.0,VISp,1,unclassified
98,448.0,368.0,452.0,371.0,VISp,1,unclassified
99,128.0,466.0,134.0,469.0,VISp,1,unclassified
100,368.0,481.0,372.0,485.0,VISp,1,unclassified
101,208.0,486.0,210.0,489.0,VISp,1,unclassified
102,500.0,401.0,504.0,405.0,VISp,1,unclassified
103,103.0,456.0,108.0,459.0,VISp,1,unclassified
104,458.0,452.0,462.0,455.0,VISp,1,unclassified
105,184.0,485.0,188.0,487.0,VISp,1,unclassified
106,493.0,10.0,496.0,13.0,VISp,1,unclassified
107,218.0,451.0,222.0,455.0,VISp,1,unclassified
108,438.0,297.0,444.0,301.0,VISp,1,unclassified
109,422.0,309.0,426.0,313.0,VISp,1,unclassified
110,426.0,321.0,430.0,323.0,VISp,0,unclassified
111,358.0,344.0,362.0,347.0,VISp,1,unclassified
112,126.0,400.0,130.0,403.0,VISp,1,unclassified
113,384.0,439.0,388.0,441.0,VISp,1,unclassified
114,425.0,439.0,430.0,441.0,VISp,1,unclassified
115,137.0,390.0,140.0,391.0,VISp,1,unclassified
116,294.0,403.0,298.0,407.0,VISp,1,unclassified
117,467.0,126.0,470.0,129.0,VISp,1,unclassified
118,387.0,338.0,392.0,341.0,VISp,1,unclassified
119,498.0,291.0,502.0,293.0,VISp,1,unclassified
120,352.0,443.0,356.0,445.0,VISp,1,unclassified
121,499.0,391.0,502.0,393.0,VISp,1,unclassified
122,362.0,448.0,366.0,451.0,VISp,1,unclassified
123,105.0,486.0,108.0,487.0,VISp,1,unclassified
124,126.0,389.0,130.0,393.0,VISp,1,unclassified
125,415.0,337.0,418.0,341.0,VISp,1,unclassified
126,109.0,434.0,112.0,435.0,VISp,1,unclassified
127,415.0,281.0,418.0,285.0,VISp,1,unclassified
128,169.0,373.0,174.0,377.0,VISp,1,unclassified
129,386.0,467.0,390.0,471.0,VISp,1,unclassified
130,494.0,409.0,498.0,411.0,VISp,1,unclassified
