start_time__s,stop_time__s,stimulus_onset__s,stimulus_offset__s,grating_orientation__degrees,grating_spatial_frequency__cycles_per_degree,stimulus_contrast
14.263042299999999,15.274042300000001,14.263042299999999,15.274042300000001,135.0,0.04,0.04
18.3080423,19.3190423,18.3080423,19.3190423,180.0,0.04,0.64
22.353042300000002,23.3650423,22.353042300000002,23.3650423,0.0,0.04,0.04
26.3990423,27.4100423,26.3990423,27.4100423,225.0,0.04,0.16
30.4440423,31.455042300000002,30.4440423,31.455042300000002,0.0,0.04,0.16
34.4890423,35.5000423,34.4890423,35.5000423,45.0,0.04,0.04
38.5340423,39.5460423,38.5340423,39.5460423,90.0,0.04,0.64
42.5800423,43.5910423,42.5800423,43.5910423,45.0,0.04,0.64
46.625042300000004,47.6360423,46.625042300000004,47.6360423,45.0,0.04,0.16
50.6700423,51.6820423,50.6700423,51.6820423,270.0,0.04,0.04
54.7160423,55.7270423,54.7160423,55.7270423,270.0,0.04,0.16
58.7610423,59.7720423,58.7610423,59.7720423,180.0,0.04,0.16
62.8060423,63.8170423,62.8060423,63.8170423,135.0,0.04,0.16
66.8510423,67.8630423,66.8510423,67.8630423,315.0,0.04,0.04
70.8970423,71.9080423,70.8970423,71.9080423,315.0,0.04,0.16
74.9420423,75.9530423,74.9420423,75.9530423,0.0,0.04,0.64
78.9870423,79.9990423,78.9870423,79.9990423,225.0,0.04,0.04
83.0330423,84.0440423,83.0330423,84.0440423,315.0,0.04,0.64
87.0780423,88.0890423,87.0780423,88.0890423,90.0,0.04,0.04
91.1230423,92.1350423,91.1230423,92.1350423,225.0,0.04,0.64
95.1690423,96.1800423,95.1690423,96.1800423,270.0,0.04,0.64
99.2140423,100.2250423,99.2140423,100.2250423,180.0,0.04,0.04
103.2590423,104.2700423,103.2590423,104.2700423,90.0,0.04,0.16
107.3050423,108.3160423,107.3050423,108.3160423,135.0,0.04,0.64
111.3500423,112.3610423,111.3500423,112.3610423,0.0,0.04,0.64
115.3950423,116.4060423,115.3950423,116.4060423,0.0,0.04,0.04
119.4400423,120.4520423,119.4400423,120.4520423,270.0,0.04,0.04
123.4860423,124.4970423,123.4860423,124.4970423,180.0,0.04,0.04
127.5310423,128.5420423,127.5310423,128.5420423,315.0,0.04,0.16
131.57604229999998,132.58804229999998,131.57604229999998,132.58804229999998,45.0,0.04,0.04
135.62204229999998,136.6330423,135.62204229999998,136.6330423,225.0,0.04,0.16
139.6670423,140.6780423,139.6670423,140.6780423,90.0,0.04,0.04
143.71204229999998,144.72304229999997,143.71204229999998,144.72304229999997,135.0,0.04,0.64
147.7570423,148.7690423,147.7570423,148.7690423,0.0,0.04,0.16
151.8030423,152.81404229999998,151.8030423,152.81404229999998,90.0,0.04,0.64
155.84804229999997,156.8590423,155.84804229999997,156.8590423,225.0,0.04,0.64
159.8930423,160.9050423,159.8930423,160.9050423,270.0,0.04,0.64
163.93904229999998,164.95004229999998,163.93904229999998,164.95004229999998,315.0,0.04,0.04
167.9840423,168.9950423,167.9840423,168.9950423,135.0,0.04,0.04
172.0290423,173.0410423,172.0290423,173.0410423,270.0,0.04,0.16
176.07404229999997,177.08604229999997,176.07404229999997,177.08604229999997,90.0,0.04,0.16
180.1200423,181.1310423,180.1200423,181.1310423,225.0,0.04,0.04
184.16504229999998,185.17704229999998,184.16504229999998,185.17704229999998,45.0,0.04,0.64
188.2100423,189.2220423,188.2100423,189.2220423,45.0,0.04,0.16
192.2560423,193.26704229999999,192.2560423,193.26704229999999,315.0,0.04,0.64
196.30104229999998,197.31204229999997,196.30104229999998,197.31204229999997,180.0,0.04,0.16
200.3460423,201.3580423,200.3460423,201.3580423,135.0,0.04,0.16
204.39204229999999,205.40304229999998,204.39204229999999,205.40304229999998,180.0,0.04,0.64
208.43704229999997,209.4480423,208.43704229999997,209.4480423,225.0,0.04,0.04
212.4820423,213.4940423,212.4820423,213.4940423,270.0,0.04,0.16
216.52804229999998,217.53904229999998,216.52804229999998,217.53904229999998,180.0,0.04,0.16
220.5730423,221.5840423,220.5730423,221.5840423,315.0,0.04,0.16
224.61804229999998,225.62904229999998,224.61804229999998,225.62904229999998,45.0,0.04,0.64
228.66404229999998,229.67504229999997,228.66404229999998,229.67504229999997,225.0,0.04,0.64
232.7090423,233.7200423,232.7090423,233.7200423,315.0,0.04,0.04
236.75404229999998,237.76504229999998,236.75404229999998,237.76504229999998,90.0,0.04,0.04
240.7990423,241.8110423,240.7990423,241.8110423,135.0,0.04,0.04
244.8450423,245.85604229999998,244.8450423,245.85604229999998,135.0,0.04,0.16
248.89004229999998,249.9010423,248.89004229999998,249.9010423,270.0,0.04,0.04
252.9350423,253.9470423,252.9350423,253.9470423,90.0,0.04,0.16
256.9810423,257.9920423,256.9810423,257.9920423,315.0,0.04,0.64
261.02604230000003,262.0370423,261.02604230000003,262.0370423,0.0,0.04,0.64
265.0710423,266.0830423,265.0710423,266.0830423,45.0,0.04,0.04
269.1170423,270.1280423,269.1170423,270.1280423,270.0,0.04,0.64
273.1620423,274.17304229999996,273.1620423,274.17304229999996,225.0,0.04,0.16
277.2070423,278.2180423,277.2070423,278.2180423,45.0,0.04,0.16
281.25204229999997,282.26404229999997,281.25204229999997,282.26404229999997,180.0,0.04,0.64
285.29804229999996,286.3090423,285.29804229999996,286.3090423,0.0,0.04,0.04
289.3430423,290.3540423,289.3430423,290.3540423,135.0,0.04,0.64
293.3880423,294.4000423,293.3880423,294.4000423,90.0,0.04,0.64
297.4340423,298.4450423,297.4340423,298.4450423,180.0,0.04,0.04
301.4790423,302.49004229999997,301.4790423,302.49004229999997,0.0,0.04,0.16
305.5250423,306.53604229999996,305.5250423,306.53604229999996,180.0,0.04,0.64
309.5700423,310.5810423,309.5700423,310.5810423,180.0,0.04,0.16
313.61504229999997,314.6260423,313.61504229999997,314.6260423,270.0,0.04,0.04
317.6600423,318.6710423,317.6600423,318.6710423,315.0,0.04,0.64
321.7050423,322.7170423,321.7050423,322.7170423,315.0,0.04,0.04
325.7510423,326.76204229999996,325.7510423,326.76204229999996,270.0,0.04,0.64
329.7960423,330.8070423,329.7960423,330.8070423,0.0,0.04,0.16
333.84104229999997,334.85304229999997,333.84104229999997,334.85304229999997,90.0,0.04,0.64
337.88704229999996,338.8980423,337.88704229999996,338.8980423,45.0,0.04,0.16
341.9320423,342.9430423,341.9320423,342.9430423,225.0,0.04,0.16
345.9770423,346.9890423,345.9770423,346.9890423,315.0,0.04,0.16
350.0230423,351.0340423,350.0230423,351.0340423,135.0,0.04,0.64
354.0680423,355.07904229999997,354.0680423,355.07904229999997,180.0,0.04,0.04
358.11304229999996,359.1240423,358.11304229999996,359.1240423,135.0,0.04,0.04
362.1580423,363.1700423,362.1580423,363.1700423,270.0,0.04,0.16
366.20404229999997,367.2150423,366.20404229999997,367.2150423,45.0,0.04,0.64
370.2490423,371.2600423,370.2490423,371.2600423,45.0,0.04,0.04
374.2940423,375.3060423,374.2940423,375.3060423,0.0,0.04,0.64
378.3400423,379.35104229999996,378.3400423,379.35104229999996,90.0,0.04,0.04
382.3850423,383.3960423,382.3850423,383.3960423,135.0,0.04,0.16
386.43004229999997,387.44204229999997,386.43004229999997,387.44204229999997,225.0,0.04,0.04
390.47604229999996,391.4870423,390.47604229999996,391.4870423,90.0,0.04,0.16
394.5210423,395.5320423,394.5210423,395.5320423,0.0,0.04,0.04
398.5660423,399.57704229999996,398.5660423,399.57704229999996,225.0,0.04,0.64
402.6110423,403.6230423,402.6110423,403.6230423,270.0,0.04,0.04
406.6570423,407.66804229999997,406.6570423,407.66804229999997,225.0,0.04,0.64
410.70204229999996,411.7130423,410.70204229999996,411.7130423,315.0,0.04,0.64
414.7470423,415.7590423,414.7470423,415.7590423,180.0,0.04,0.64
418.79304229999997,419.8040423,418.79304229999997,419.8040423,45.0,0.04,0.04
422.8380423,423.8490423,422.8380423,423.8490423,0.0,0.04,0.16
426.8830423,427.8950423,426.8830423,427.8950423,270.0,0.04,0.16
430.9290423,431.94004229999996,430.9290423,431.94004229999996,135.0,0.04,0.04
434.9740423,435.9850423,434.9740423,435.9850423,0.0,0.04,0.04
439.01904229999997,440.0300423,439.01904229999997,440.0300423,180.0,0.04,0.16
443.0640423,444.0760423,443.0640423,444.0760423,45.0,0.04,0.16
447.1100423,448.1210423,447.1100423,448.1210423,90.0,0.04,0.04
451.1550423,452.16604229999996,451.1550423,452.16604229999996,45.0,0.04,0.64
455.2000423,456.2120423,455.2000423,456.2120423,90.0,0.04,0.16
459.2460423,460.25704229999997,459.2460423,460.25704229999997,0.0,0.04,0.64
463.29104229999996,464.3020423,463.29104229999996,464.3020423,135.0,0.04,0.64
467.3360423,468.3480423,467.3360423,468.3480423,90.0,0.04,0.64
471.38204229999997,472.3930423,471.38204229999997,472.3930423,315.0,0.04,0.16
475.4270423,476.4380423,475.4270423,476.4380423,315.0,0.04,0.04
479.4720423,480.48304229999997,479.4720423,480.48304229999997,225.0,0.04,0.04
483.5170423,484.5290423,483.5170423,484.5290423,135.0,0.04,0.16
487.5630423,488.5740423,487.5630423,488.5740423,180.0,0.04,0.04
491.60804229999997,492.6190423,491.60804229999997,492.6190423,225.0,0.04,0.16
495.6530423,496.6650423,495.6530423,496.6650423,270.0,0.04,0.64
499.6990423,500.7100423,499.6990423,500.7100423,0.0,0.04,0.04
503.7440423,504.7550423,503.7440423,504.7550423,315.0,0.04,0.16
507.7890423,508.8010423,507.7890423,508.8010423,0.0,0.04,0.16
511.8350423,512.8460423,511.8350423,512.8460423,180.0,0.04,0.04
515.8800423,516.8910423,515.8800423,516.8910423,180.0,0.04,0.16
519.9250423,520.9370423,519.9250423,520.9370423,45.0,0.04,0.64
523.9700422999999,524.9820423,523.9700422999999,524.9820423,180.0,0.04,0.64
528.0160423,529.0270423,528.0160423,529.0270423,315.0,0.04,0.64
532.0610422999999,533.0720423,532.0610422999999,533.0720423,225.0,0.04,0.64
536.1060423,537.1180423,536.1060423,537.1180423,225.0,0.04,0.04
540.1520423,541.1630423,540.1520423,541.1630423,135.0,0.04,0.16
544.1970423,545.2080423,544.1970423,545.2080423,90.0,0.04,0.64
548.2420423,549.2540423,548.2420423,549.2540423,225.0,0.04,0.16
552.2880423,553.2990423,552.2880423,553.2990423,270.0,0.04,0.04
556.3330423,557.3440423,556.3330423,557.3440423,270.0,0.04,0.16
560.3780423,561.3890423,560.3780423,561.3890423,45.0,0.04,0.04
564.4230423,565.4350423,564.4230423,565.4350423,135.0,0.04,0.64
568.4690423,569.4800423,568.4690423,569.4800423,0.0,0.04,0.64
572.5140423,573.5250423,572.5140423,573.5250423,270.0,0.04,0.64
576.5590423,577.5710422999999,576.5590423,577.5710422999999,90.0,0.04,0.16
580.6050423,581.6160423,580.6050423,581.6160423,135.0,0.04,0.04
584.6500423,585.6610423,584.6500423,585.6610423,45.0,0.04,0.16
588.6950423,589.7070423,588.6950423,589.7070423,90.0,0.04,0.04
592.7410423,593.7520423,592.7410423,593.7520423,315.0,0.04,0.04
596.7860423,597.7970422999999,596.7860423,597.7970422999999,135.0,0.04,0.16
600.8310423,601.8420423,600.8310423,601.8420423,315.0,0.04,0.64
604.8770423,605.8880422999999,604.8770423,605.8880422999999,45.0,0.04,0.64
608.9220422999999,609.9330423,608.9220422999999,609.9330423,225.0,0.04,0.04
612.9670423,613.9780423,612.9670423,613.9780423,270.0,0.04,0.16
617.0120423,618.0240423,617.0120423,618.0240423,315.0,0.04,0.16
621.0580423,622.0690423,621.0580423,622.0690423,45.0,0.04,0.16
625.1030423,626.1140422999999,625.1030423,626.1140422999999,225.0,0.04,0.16
629.1480423,630.1600423,629.1480423,630.1600423,135.0,0.04,0.04
633.1940423,634.2050423,633.1940423,634.2050423,0.0,0.04,0.64
637.2390422999999,638.2500423,637.2390422999999,638.2500423,180.0,0.04,0.16
641.2840423,642.2950423,641.2840423,642.2950423,135.0,0.04,0.64
645.3300423,646.3410423,645.3300423,646.3410423,180.0,0.04,0.04
649.3750423,650.3860423,649.3750423,650.3860423,90.0,0.04,0.16
653.4200423,654.4310423,653.4200423,654.4310423,90.0,0.04,0.64
657.4650422999999,658.4770423,657.4650422999999,658.4770423,270.0,0.04,0.64
661.5110423,662.5220423,661.5110423,662.5220423,180.0,0.04,0.64
665.5560423,666.5670423,665.5560423,666.5670423,225.0,0.04,0.64
669.6010423,670.6130423,669.6010423,670.6130423,90.0,0.04,0.04
673.6470423,674.6580423,673.6470423,674.6580423,0.0,0.04,0.16
