row_type,surlab_file_location,surlab_filename,fieldname_surlab,units,requirement_level,requirement_condition,nwb_location,nwb_fieldname,nwb_alt_fieldnames,nwb_keyword,nwb_type,mapping_rationale,stage,notes
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,institution,plain text (institution name),required,always,NWBFile,institution,,,str,DANDI/NWB core provenance: institution on NWBFile.,1,Mirror file session_dir/sessionInfo_single_session.csv same columns.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,lab,plain text (laboratory name),required,always,NWBFile,lab,,,str,NWB core lab string.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,experimenter,plain text (full name),required,always,NWBFile,experimenter,,,str_or_array_of_str,NWB experimenter; use string or length-1 array per PyNWB.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,animal_ID,plain text (subject identifier),required,always,NWBFile/general/subject,subject_id,,,str,Subject.subject_id standard for subject key.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,session_ID,plain text (session identifier),required,always,NWBFile,session_id,,,str,NWBFile.session_id where schema provides it; ties to session record.,1,Unique within dataset as pair (animal_ID session_ID); may repeat across different animal_ID.
metadata_field,session_dir,(session_file_naming),N/A,na,na,always,NWBFile,N/A,,,N/A,Canonical minimal filenames inside session_dir; optional verbose alias per documentation.,1,Minimal: <datatypeID>_role.ext and trialInfo.csv. Verbose alias embeds _<datasetID>_<animal_ID>_<session_ID> before extension; parsers accept either in session_dir.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,session_date,calendar date YYYY-MM-DD,required,always,NWBFile,session_start_time,,,datetime,Build datetime for session_start_time; default time T00:00:00 if no clock; document timezone.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,species,Latin binomial e.g. Mus musculus,required,always,NWBFile/general/subject,species,,,str,Subject.species.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,sex,single letter M F O U,required,always,NWBFile/general/subject,sex,,,str,Subject.sex M F O U.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,age__days,numeric age in days,required,always,NWBFile/general/subject,age,,,str,Subject.age expects ISO-8601 duration; convert days to P{n}D.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,strain,plain text genetic background,required,always,NWBFile/general/subject,strain,,,str,Subject.strain.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,(session_metadata_provenance),N/A,na,always,NWBFile,N/A,,,N/A,Required sessionInfo columns must appear in sessionInfo CSV at export time; ingest may fill from dataset_config or sidecar before write.,1,Raw acquisition folders may lack these fields; converter merges defaults then writes sessionInfo. Not a SurLab column header.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,zero_time,datatype ID of stream aligned to t=0,optional,always,NWBFile,notes,,,str,Provenance only: names which stream was aligned to session origin (t=0). Not a special value and not required for correctness; converter can infer the anchor as the stream whose first timestamp is 0. NWB has no zero_time field; if present write stream ID to NWBFile.notes (LabMetaData when nwb_path enabled). If column absent skip it.,1,Value e.g. GCaMP7f_traces. All SurLab times share one origin; other streams/trials may begin negative or positive relative to it.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,area,plain text comma-separated regions,optional,always,NWBFile/general/subject,description,,,str,Session-level brain region text on Subject.description.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,condition,plain text experimental condition,optional,always,NWBFile,session_description,,,str,Append to session_description; trial types detailed in trial table stage.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,related_publication,plain text DOI or citation,optional,always,NWBFile,related_publications,experiment_description,,str,NWB related_publications.,1,
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,(derived_file_identifier),N/A,required,always,NWBFile,identifier,,,str,Unique NWB identifier; typically concatenate animal_ID and session_ID or use session_ID if globally unique.,1,Not a SurLab column; conversion generates.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,(per_stream_traces),boolean 0/1 per stream column,optional,always,NWBFile,keywords,,identity,array_of_str,One sessionInfo column per traces stream; header is full datatype ID (e.g. GCaMP7f_traces).,1,No aggregate traces column. See Common prefix examples in documentation (GCaMP7f tdTomato mCherry etc.).
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,(common_datatype_prefix_examples),N/A,na,always,NWBFile,N/A,,,N/A,Informative prefix patterns only; not validated as a closed list.,1,See documentation Common prefix examples. Pattern prefix_baseID e.g. GCaMP7f_traces pupil_behTSeries. trialInfo has no prefix.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,trialInfo,boolean 0/1 trial table present,optional,always,NWBFile,keywords,,trials,array_of_str,Keyword trials when 1.,1,At most one trialInfo table per session. See stage 5 rows.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,lfp,boolean 0/1 modality present,optional,always,NWBFile,keywords,,lfp,array_of_str,Keyword LFP when 1.,1,LFP rows deferred (future stage 6).
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeTimes,boolean 0/1 modality present,optional,always,NWBFile,keywords,,spike_times,array_of_str,Keyword spike or units when 1.,1,When 1 expect spikeTimes files; see stage 2 conditional rows.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,spikeWaves,boolean 0/1 modality present,optional,always,NWBFile,keywords,,spike_waveforms,array_of_str,Keyword waveform when 1.,1,Defer spike waves per project plan.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,behEvents,boolean 0/1 modality present,optional,always,NWBFile,keywords,,behavior_events,array_of_str,Keyword behavioral events when 1.,1,Optional prefix on datatype ID (e.g. lick_behEvents) same convention as traces.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,(per_stream_behTSeries),boolean 0/1 per stream column,optional,always,NWBFile,keywords,,identity,array_of_str,One sessionInfo column per behTSeries stream; header is full datatype ID (e.g. pupil_behTSeries).,1,No aggregate behTSeries column. See Common prefix examples (pupil wheel deeplabcutPupil etc.).
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,(sessioninfo_column_order),na,na,always,NWBFile,N/A,,,N/A,Recommended sessionInfo column tiers: required session metadata; optional session metadata; stream presence flags; stream scalar metadata grouped by datatypeID; lab extras.,1,See documentation Recommended column order. Not a column header.
metadata_field,dataset_dir,sessionInfo_<datasetID>.csv,(stream_scalar_metadata_rules),na,na,always,NWBFile,N/A,,,N/A,Canonical scalar location is sessionInfo {datatypeID}_{field}. Optional legacy mirror in schema JSON unprefixed key. Read both on forward; fail if both non-empty and disagree; forward does not modify source SurLab. Reverse writes both.,1,X_size/Y_size not sessionInfo columns; derive from data arrays. Unlisted keys stay in schema dataset_specific.
